YEAR;POSITION;COUNT;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
2022;C;94;26,82978723;47,81914894;24,72340426;23,09574468;0,511010638;18,73617021;3,180851064;5,954255319;0,527648936;0,475531915;1,368085106;0,243744681;1,364893617;1,908510638;0,668425532;1,620212766;3,687234043;5,309574468;1,224468085;0,946808511;0,49787234;0,75;0,374468085;1,959574468;1,75212766;8,190425532;0,091489362;7,978723404;0,042553191;108,5978723;0,18337234;0,265776596;0,161893617;0,388648936;6,289361702;5,14787234;4,84787234;17,87340426;0,060925532
2022;PF;109;26,37614679;48,66055046;25,10091743;23,55963303;0,501587156;19,83853211;3,224770642;6,805504587;0,467036697;0,867889908;2,499082569;0,314211009;1,373394495;1,825688073;0,70140367;1,028440367;3,205504587;4,235779817;1,695412844;1,008256881;0,620183486;0,443119266;0,381651376;1,808256881;1,650458716;8,682568807;-0,094495413;4,155963303;0,348623853;109,3788991;0,154137615;0,225431193;0,190688073;0,22506422;6,764220183;5,380733945;5,175229358;19,35045872;0,061614679
2022;PG;103;26,67961165;47,60194175;23,82524272;23,77669903;0,473485437;21,89514563;3,717475728;8,503883495;0,424106796;1,267961165;3,575728155;0,335679612;1,591262136;1,951456311;0,783466019;0,574757282;2,506796117;3,077669903;3,459223301;1,415533981;0,809708738;0,268932039;0,45631068;1,618446602;1,834951456;10,29320388;-0,327184466;4,922330097;0,572815534;110,5320388;0,106980583;0,157776699;0,229912621;0,125485437;7,501941748;5,994174757;5,753398058;21,55533981;0,065029126
2022;SF;97;25,84536082;46,27835052;22,36082474;23,91752577;0,475226804;20,41546392;3,142268041;7,175257732;0,429958763;1,054639175;3,122680412;0,317041237;1,255670103;1,636082474;0,733113402;0,77628866;2,737113402;3,515463918;1,701030928;0,997938144;0,644329897;0,339175258;0,386597938;1,654639175;1,439175258;8,6;-1,032989691;2,175257732;0,051546392;110,257732;0,128680412;0,190907216;0,192886598;0,180206186;7,027835052;5,81443299;5,420618557;20,23505155;0,059979381
2022;SG;130;25,32307692;50,81538462;25,5;25,31538462;0,492715385;21,39461538;3,46;8,059230769;0,4209;1,326153846;3,797692308;0,322238462;1,334615385;1,690769231;0,762261538;0,593076923;2,389230769;2,981538462;2,111538462;1,120769231;0,656923077;0,272307692;0,426153846;1,583846154;1,5;9,576153846;-0,596153846;1,761538462;0,184615385;109,5876923;0,109869231;0,162330769;0,193546154;0,125646154;7,282307692;6,058461538;5,595384615;21,24;0,064238462
2017;C;88;26,65909091;59,51136364;29,77272727;29,73863636;0,488;19,525;3,280681818;6,345454545;0,52175;0,323863636;0,929545455;0,155863636;1,490909091;2,148863636;0,689056818;1,629545455;3,814772727;5,445454545;1,255681818;1,114772727;0,554545455;0,790909091;0,429545455;2,119318182;1,948863636;8,364772727;-0,342045455;8,897727273;0,056818182;106,3568182;0,186863636;0,275886364;0,179488636;0,393113636;6,682954545;5,253409091;5,421590909;17,48636364;0,059795455
2017;PF;105;27,14423077;52,44230769;25,76923077;26,67307692;0,464990385;18,81538462;2,914423077;6,279807692;0,456903846;0,578846154;1,690384615;0,275884615;1,184615385;1,596153846;0,719144231;1,103846154;3,125961538;4,224038462;1,210576923;0,9125;0,514423077;0,451923077;0,359615385;1,714423077;1,411538462;7,581730769;-0,4125;4,432692308;0,096153846;106,4240385;0,162826923;0,240240385;0,169144231;0,255375;6,285576923;4,994230769;5,173076923;16,85769231;0,057394231
2017;PG;88;26,59090909;56,06818182;28,26136364;27,80681818;0,498522727;21,16590909;3,465909091;8,045454545;0,413806818;0,961363636;2,711363636;0,325136364;1,856818182;2,272727273;0,772261364;0,439772727;2,135227273;2,575;3,568181818;1,518181818;0,786363636;0,204545455;0,475;1,621590909;1,934090909;9,747727273;-0,111363636;4,772727273;0,863636364;106,5715909;0,09725;0,142397727;0,233;0,096818182;7,038636364;5,559090909;5,763636364;18,96590909;0,06325
2017;SF;78;27,48717949;59,43589744;30,48717949;28,94871795;0,497358974;22,36794872;3,338461538;7,597435897;0,425358974;0,975641026;2,801282051;0,322025641;1,602564103;2,053846154;0,726679487;0,701282051;2,892307692;3,597435897;1,703846154;1,074358974;0,776923077;0,355128205;0,367948718;1,685897436;1,680769231;9,258974359;0,1;3,038461538;0,230769231;105,7474359;0,124038462;0,181512821;0,207705128;0,156782051;7,358974359;5,838461538;6,012820513;20,01538462;0,071064103
2017;SG;100;26,55;57,06;28,11;28,95;0,48226;21,463;3,293;7,671;0,4163;1,156;3,202;0,34247;1,338;1,671;0,77363;0,491;2,193;2,678;1,809;1,081;0,664;0,227;0,388;1,581;1,438;9,075;-0,527;1,3;0,08;106,977;0,10264;0,1501;0,19473;0,10884;7,251;5,751;5,899;19,676;0,06106
2012;C;97;27,56701031;41,4742268;20,81443299;20,65979381;0,493298969;19,24742268;2,796907216;5,791752577;0,473896907;0,154639175;0,473195876;0,105958763;1,303092784;1,92371134;0,642484536;1,459793814;3,289690722;4,745360825;1,095876289;1,073195876;0,526804124;0,784536082;0,431958763;1,972164948;1,713402062;7,041237113;-0,254639175;5,412371134;0,020618557;101,9865979;0,170938144;0,263360825;0,165659794;0,39414433;6,541237113;5,165979381;5,379381443;16,18350515;0,059536082
2012;PF;92;26,86956522;49,2173913;25,01086957;24,20652174;0,50926087;21,175;3,327173913;7,193478261;0,452891304;0,339130435;1,004347826;0,182826087;1,493478261;2,061956522;0,693695652;1,535869565;3,352173913;4,883695652;1,198913043;1,102173913;0,616304348;0,572826087;0,511956522;2,017391304;1,82173913;8,491304348;-0,240217391;6,054347826;0,032608696;101,776087;0,157597826;0,244293478;0,176782609;0,254293478;7,195652174;5,761956522;5,748913043;17,84891304;0,064913043
2012;PG;89;26,42696629;41,3258427;20,69662921;20,62921348;0,499382022;20,67640449;2,948314607;7,064044944;0,402786517;0,7;2,082022472;0,299269663;1,408988764;1,774157303;0,753404494;0,443820225;1,815730337;2,251685393;3,340449438;1,595505618;0,794382022;0,17752809;0,416853933;1,556179775;1,638202247;8,003370787;-0,342696629;2,573033708;0,112359551;101,1651685;0,089146067;0,138561798;0,236292135;0,085842697;7,070786517;5,724719101;5,666292135;17,59438202;0,065247191
2012;SF;89;27,56179775;43,08988764;21,03370787;22,05617978;0,461786517;21,65280899;3,052808989;7,092134831;0,421483146;0,679775281;2,013483146;0,285269663;1,417977528;1,843820225;0,728022472;0,811235955;2,664044944;3,474157303;1,46741573;1,141573034;0,686516854;0,385393258;0,402247191;1,646067416;1,528089888;8,191011236;-0,921348315;2,134831461;0,02247191;102,9325843;0,122606742;0,191224719;0,195067416;0,176359551;7,582022472;5,987640449;5,962921348;18,40337079;0,061191011
2012;SG;96;26,94791667;48,41666667;24,32291667;24,09375;0,503322917;22,39479167;3,265625;7,665625;0,4191875;0,882291667;2,488541667;0,308229167;1,522916667;1,939583333;0,727989583;0,616666667;2,125;2,739583333;1,936458333;1,222916667;0,727083333;0,25;0,411458333;1,589583333;1,667708333;8,928125;0,151041667;0,8125;0,010416667;101,6229167;0,097177083;0,150375;0,19946875;0,110291667;7,619791667;6,107291667;6,133333333;19,06979167;0,067260417
2007;C;88;26,95454545;56,125;27,40909091;28,71590909;0,471602273;19,04886364;2,656818182;5,335227273;0,478670455;0,092045455;0,273863636;0,079693182;1,407954545;2,098863636;0,647;1,520454545;3,219318182;4,734090909;0,977272727;1,179545455;0,444318182;0,781818182;0,413636364;2,343181818;1,870454545;6,813636364;-0,503409091;7,784090909;0,022727273;103,8238636;0,168852273;0,263534091;0,155943182;0,415056818;6,763636364;5,157954545;4,913636364;15,78636364;0,056090909
2007;PF;110;26,62727273;53,45454545;26,16363636;27,29090909;0,472781818;18,17;2,666363636;5,735454545;0,452972727;0,291818182;0,828181818;0,176181818;1,408181818;1,926363636;0,712509091;1,222727273;2,851818182;4,073636364;1,020909091;1,042727273;0,470909091;0,402727273;0,386363636;2,025454545;1,682727273;7,037272727;-0,288181818;5,372727273;0,054545455;102,8163636;0,160890909;0,251027273;0,167727273;0,2501;6,463636364;4,883636364;4,534545455;14,87272727;0,057354545
2007;PG;81;26,95061728;59,14814815;28,9382716;30,20987654;0,47562963;21,89135802;3,108641975;7,34691358;0,405382716;0,692592593;2,013580247;0,301691358;1,688888889;2,127160494;0,747271605;0,455555556;1,822222222;2,282716049;3,418518519;1,480246914;0,792592593;0,125925926;0,387654321;1,780246914;1,855555556;8,587654321;-0,148148148;3,617283951;0,049382716;103,5925926;0,084098765;0,130592593;0,224679012;0,056530864;7,604938272;5,943209877;5,390123457;17,98271605;0,066691358
2007;SF;72;26,93055556;59,36111111;31,01388889;28,34722222;0,519708333;24,23333333;3,780555556;8,384722222;0,440583333;0,818055556;2,25;0,299236111;2,051388889;2,666666667;0,74075;0,944444444;2,848611111;3,7875;1,768055556;1,347222222;0,784722222;0,4;0,447222222;1,975;2,175;10,42777778;0,020833333;4,375;0,194444444;103,9041667;0,121083333;0,186652778;0,210916667;0,154513889;8,469444444;6,602777778;5,956944444;19,88333333;0,070763889
2007;SG;90;27;57,14444444;28,62222222;28,52222222;0,486233333;23,43666667;3,621111111;8,117777778;0,432088889;0,81;2,24;0,301677778;2,006666667;2,588888889;0,762622222;0,674444444;2,181111111;2,856666667;2,181111111;1,386666667;0,744444444;0,271111111;0,423333333;1,844444444;2,128888889;10,07222222;-0,29;2,488888889;0,066666667;103,7066667;0,093988889;0,147;0,215844444;0,110511111;8,198888889;6,455555556;5,956666667;19,38777778;0,0684
2002;C;90;26,47777778;53,3;26,71111111;26,58888889;0,4879;17,01222222;2,206666667;4,79;0,4493;0,12;0,316666667;0,083344444;1,195555556;1,755555556;0,627211111;1,47;2,754444444;4,222222222;0,663333333;0,877777778;0,416666667;0,707777778;0,422222222;2,117777778;0,008888889;5,731111111;-0,393333333;4,422222222;0,011111111;101,0544444;0,160322222;0,256177778;0,147166667;0,391877778;5,591111111;4,927777778;4,64;13,56888889;0,052377778
2002;PF;90;28,42222222;57,7;28,74444444;28,95555556;0,486155556;21,31555556;3,095555556;6,867777778;0,443977778;0,25;0,75;0,177966667;1,668888889;2,283333333;0,709844444;1,501111111;3,341111111;4,837777778;1,326666667;1,225555556;0,588888889;0,618888889;0,524444444;2,192222222;0,011111111;8,111111111;-0,45;7,066666667;0,044444444;101,8433333;0,155266667;0,247722222;0,162955556;0,269322222;7,135555556;6,041111111;5,862222222;16,85666667;0,063422222
2002;PG;81;28,02469136;56,33333333;28,37037037;27,96296296;0,49891358;21,69753086;2,97037037;7,137037037;0,403950617;0,633333333;1,861728395;0,298814815;1,381481481;1,762962963;0,769407407;0,50617284;1,850617284;2,359259259;3,686419753;1,443209877;0,866666667;0,167901235;0,362962963;1,622222222;0,001234568;7,948148148;-0,17654321;4,580246914;0,24691358;101,1148148;0,081098765;0,129888889;0,246271605;0,062012346;7,072839506;6,25308642;5,6;17,13703704;0,066765432
2002;SF;81;27,48148148;55,40740741;28,2962963;27,11111111;0,502950617;23,38518519;3,7;8,32345679;0,431567901;0,49382716;1,480246914;0,26108642;1,775308642;2,367901235;0,713493827;1,148148148;2,816049383;3,956790123;1,674074074;1,303703704;0,766666667;0,437037037;0,524691358;1,991358025;0,002469136;9,665432099;0,059259259;4,209876543;0,012345679;101,137037;0,116024691;0,185555556;0,196641975;0,181444444;7,643209877;6,762962963;6,138271605;18,53950617;0,070938272
2002;SG;85;27,81176471;56,78823529;27,72941176;29,05882353;0,466141176;22,94588235;3,578823529;8,317647059;0,413682353;0,715294118;2,015294118;0,300388235;1,645882353;2,069411765;0,775105882;0,722352941;2,291764706;3,014117647;2,183529412;1,272941176;0,792941176;0,288235294;0,472941176;1,671764706;0;9,516470588;-0,517647059;3,411764706;0,047058824;101,8917647;0,098588235;0,1566;0,205623529;0,097952941;7,636470588;6,531764706;6,169411765;18,46470588;0,067
1997;C;75;28,81333333;53,65333333;25,64;28,01333333;0,458226667;19,45733333;2,76;5,930666667;0,45956;0,174666667;0,512;0,15152;1,450666667;2,073333333;0,671373333;1,48;2,929333333;4,414666667;1,222666667;1,222666667;0,542666667;0,745333333;0,458666667;2,266666667;0,012;7,14;-0,549333333;6,32;0,12;103,392;0,15512;0,2582;0,148133333;0,360573333;7,112;5,724;5,370666667;16,61333333;0,05768
1997;PF;98;28,12244898;53,6122449;26,64285714;26,96938776;0,481316327;20,58979592;2,940816327;6,308163265;0,451714286;0,216326531;0,628571429;0,193091837;1,555102041;2,225510204;0,664122449;1,52244898;3,03877551;4,562244898;1,251020408;1,244897959;0,594897959;0,568367347;0,45;2,208163265;0,009183673;7,643877551;-0,648979592;8,173469388;0,112244898;104,122449;0,148132653;0,247693878;0,162316327;0,26372449;7,639795918;6,144897959;5,464285714;17,35408163;0,059418367
1997;PG;87;27,32183908;58,7816092;30,51724138;28,26436782;0,513931034;21,39655172;3,095402299;7,037931034;0,429574713;0,740229885;2,056321839;0,314862069;1,572413793;2,077011494;0,750747126;0,608045977;1,736781609;2,349425287;3,174712644;1,501149425;0,864367816;0,225287356;0,38045977;1,766666667;0,003448276;8,503448276;-0,006896552;4,183908046;0,137931034;103,0103448;0,079367816;0,131471264;0,234471264;0,095068966;7,774712644;6,389655172;5,632183908;18,14367816;0,065977011
1997;SF;86;28,15116279;56,65116279;28,75581395;27,89534884;0,49494186;22,81395349;3,419767442;7,620930233;0,427081395;0,556976744;1,630232558;0,252686047;1,770930233;2,424418605;0,694197674;1,23372093;2,776744186;4,012790698;1,713953488;1,315116279;0,768604651;0,370930233;0,488372093;2,098837209;0,002325581;9,176744186;-0,215116279;4,662790698;0,220930233;102,927907;0,121930233;0,201337209;0,196034884;0,166418605;8,297674419;6,673255814;6,058139535;19,06627907;0,072465116
1997;SG;77;27,53246753;57,02597403;28,72727273;28,2987013;0,480792208;22,31948052;3,297402597;7,642857143;0,424298701;0,901298701;2,524675325;0,307883117;1,677922078;2,148051948;0,767051948;0,793506494;1,992207792;2,78961039;2,079220779;1,376623377;0,84025974;0,280519481;0,435064935;1,818181818;0,007792208;9,175324675;-0,151948052;2,415584416;0,038961039;103,4584416;0,090324675;0,149077922;0,218636364;0,114428571;8,148051948;6,637662338;5,937662338;18,9038961;0,067935065
